编号,名称,处置,去向/吸收目标,理由,删除内容备注
PA-001,压抑蓄力爆发,保留重写,节拍(canonical 压抑→爆发),张力时间序列纯正:压抑段累加到不可退让点一次性兑现;蓄压/释放关系的基石条目,删适用题材(全部)与FM毒点;判据入正文审稿时
PA-002,微反转补刀,锐化,节拍(独立于PA-061),独有动作=先造已结束错觉再用隐藏信息补刀;可挂在任意爽点后独立调用,与PA-061完整三段区分,删适用题材(全部)与FM毒点
PA-003,中后期留存修复,转交,第二阶段诊断知识族(移出节拍),条目自称细纲与结构诊断用非正文桥段;多维掉速诊断属修复知识不是本章张力时序,节拍归属删除;整条移出转交诊断族
PA-004,情绪高压三段式,锐化,节拍(高情绪场铺垫-爆发-余韵),情绪时间序列;独有=吵架/决裂/诀别的三段情绪弧,与PA-001压抑爆发区分(此为单场高情绪),删适用题材(全部)与FM毒点
PA-005,反派压力阶梯推进,移动,人物(反派体系),条目自称非单章节拍是阶梯设计;搭整本书反派体系属人物维度长期关系设计,转交故事对象人物任务,删适用题材(全部)与FM毒点
PA-006,狗血冲突螺旋升级,保留重写,节拍(canonical 冲突四段加码),张力递进时序:原冲突→催化→多方入局→峰值;独有失败模式=升级无催化硬拐,删适用题材(现言/古言/幻言/都市)题材写触发,删FM毒点
PA-007,黄金三章情绪契约,保留重写,节拍(canonical 开篇情绪契约),开篇章序时间序列;吸收PA-020(前五章卖点),两者同问题=开篇尽快兑现卖点仅窗口宽度差异,合并后窗口写为触发,删适用题材(全部)与FM毒点
PA-008,章末钩子断点,移动,追读(章末未闭合压力),明确=让读者带着问题离开本章;章尾未闭合压力属追读维度,转交追读批次做近重复,删适用题材(全部)与FM毒点
PA-009,群像多线汇聚,合并吸收,PA-056,多线规划(定汇聚点倒推推进)与PA-056轮转切线实质同一多线节拍;规划性偏结构,并入轮转通式,编号废弃不复用
PA-010,战力膨胀修复,合并吸收,PA-033,与PA-033战力受限再造张力问题/动作实质相同(改胜利条件换维破局);诊断修复表述并入张力再造通式,编号废弃不复用
PA-011,卷间回顾预告,移动,技法(类别:结构),卷末到新卷的衔接是书卷级结构方法非本章张力时序;移入技法结构类批次4落盘,删适用题材(全部)与FM毒点
